transaction_id,date,store_id,product_id,units,unit_price,total_amount
T00115,2/2/2025,S004,P201,4,22,88
T00142,10/3/2025,S006,P301,10,275,2750
T00058,9/18/2025,S004,P202,1,20,20
T00124,11/26/2025,S006,P101,2,65,130
T00107,8/26/2025,S002,P202,9,20,180
T00143,5/18/2025,S004,P402,10,85,850
T00028,5/15/2025,S002,P403,1,95,95
T00079,7/1/2025,S006,P204,2,15,30
T00032,6/7/2025,S001,P104,6,18,108
T00146,4/19/2025,S003,P202,8,20,160
T00120,4/23/2025,S005,P204,8,15,120
T00052,7/25/2025,S004,P404,4,12,48
T00081,6/20/2025,S004,P101,3,65,195
T00080,3/25/2025,S004,P201,4,22,88
T00065,10/3/2025,S005,P104,2,18,36
T00166,8/2/2025,S002,P104,9,18,162
T00094,6/8/2025,S006,P302,9,110,990
T00123,10/31/2025,S005,P101,7,65,455
T00145,1/15/2025,S004,P401,6,45,270
T00056,10/5/2025,S002,P102,10,10,100
T00180,11/3/2025,S004,P403,2,95,190
T00178,8/28/2025,S003,P403,2,95,190
T00016,8/25/2025,S005,P204,3,15,45
T00067,3/22/2025,S002,P304,5,10,50
T00101,9/21/2025,S006,P103,5,15,75
T00186,12/10/2025,S004,P303,6,28,168
T00069,3/10/2025,S001,P302,2,110,220
T00194,5/3/2025,S001,P101,10,65,650
T00027,5/31/2025,S003,P303,2,28,56
T00155,6/11/2025,S002,P104,4,18,72
T00104,2/7/2025,S002,P404,10,12,120
T00150,8/18/2025,S006,P404,8,12,96
T00041,6/19/2025,S002,P103,1,15,15
T00071,4/15/2025,S003,P203,6,30,180
T00183,1/21/2025,S006,P301,10,275,2750
T00162,4/5/2025,S004,P403,6,95,570
T00053,7/19/2025,S002,P401,1,45,45
T00001,5/21/2025,S006,P104,1,18,18
T00154,6/6/2025,S006,P403,5,95,475
T00075,1/5/2025,S005,P402,9,85,765
T00108,8/22/2025,S005,P204,2,15,30
T00091,1/1/2025,S003,P102,7,10,70
T00093,6/10/2025,S006,P303,10,28,280
T00149,10/12/2025,S002,P402,8,85,680
T00187,12/22/2025,S002,P303,7,28,196
T00072,1/27/2025,S005,P404,5,12,60
T00083,4/24/2025,S004,P102,8,10,80
T00193,8/13/2025,S005,P201,5,22,110
T00022,3/12/2025,S004,P304,4,10,40
T00048,8/5/2025,S002,P403,3,95,285
